review,star,pos_neg
글을 쓰거나 조모임 후 발표를 할때 교수님의 의견이나 관점을 따르지 않으면 정말 피곤해짐글 쓸때 형식을 알려주시지만 글쓰기 과제 전 어떤점을 유의해야하는지 말해주지 않고 글 쓰고 발표를 하고나서야 무엇이 잘못되었는지 알려주시는 점에서 솔직히 비효율적임피드백 또한 부드럽지 않고 마치 처음부터 자기가 모든것을 알려준듯 이걸 왜 이렇게 했냐며 일일히 따지시는 편,1,neg
"수업만 듣고는 과제, 시험 절대 못보는 과목이에요 최악입니다",1,neg
정말 빡셉니다 퀴즈도 거의 매주 보고 과제도 많아요..그렇지만 얻어가는 것 또한 많습니다아 물론 학점은 아니지만요,5,pos
매주 퀴즈를 봄. 교수님 열심히하심. 딕션도 아주 좋음.근데 퀴즈나 과제나 시험에서의 문장을 해석하는 부분에서 명확하게 한가지로만 해석되지 못하는 경우가 좀 있음.논리구조가 약간 빈약하다 이말임.,4,pos
외국인교수분이라 걱정이 많았지만 한국인 교수가 한국말로 설명하는것보다 간단명쾌하고 이해가 잘됨. 어려운 어휘도 안써서 elp모의토익 패스점수 정도면 걍 들어도됨.  교수가 상당히 쿨하신분같음.,5,pos
사람자체는 착하고 좋으시다.강의력은 영....,4,pos
교수(동영상에 나오는)가 하는 일 : 강의교안 읽기학생이 하는 일 : 시간낭비,1,neg
단점: 강의력 정말 별로입니다. 장점: 점수 잘 주시고 일찍 끝내주십니다,3,mid
시험없는건 좋은데 자잘하게 있는것들이 은근 짜증남^^ 그래도 개꿀강의인건 맞음,3,mid
사실 왜 하는지 잘모르겠어요 ㅠ. 너무 낯설고 수업에 비해 과제나 시험이 극악입니다,1,neg
영상만 보고 계속 혼자서 공부해야되는데 혼자 하기에는 너무 어렵고 기초가 잘 되어야 있어야 쉬운데 기초를 확실하게 안알려줌,3,mid
진짜 최악이에요  과제 진짜 많고 정말 원하는건 엄청 많아요가르쳐주는건  하나도 없습니다,1,neg
강의로 ㄱㄴㄷ를 가르치고 과제와 시험은 고전시가 해석하라는 수준임 걍 어이가 없음 조교님이 좋으시면 실습때 강의도 해주고 한다는데 우리분반은 걍 맨 땅에 헤딩이었다 질문하면 이부분 검색해서 찾아보세요 하심 그래서 교재 샀더니 교재에도 기초만 있음 어쩌라는건지 모르겠음,2,neg
수강신청때 이거 안잡는사람 바봉진짜 다양한 분들 경험 구체적으로 들을 수 있는 기회가 흔치않은데 인사이트 쌓기 너무 좋고 과제도 한번으로 깔끔하게 끝이라 👍🏻,5,pos
교수님이 설명잘하시고 이해하기가 쉬움. 온라인으로 질문도 받아주시고 설명도 잘해주심,5,pos
비대면이어서 그런지 영상 보고 감상문 1개만 쓰면 되서 좋았어요강의 자체도 유익해요,5,pos
꼰대를 벗어나려 안간힘쓰는 꼰대.예를들어 시각적으로 뭐가 더 낫냐고 사진 두 개 놓고 고르라하는데왼 쪽이 나아요하면 오른쪽이 낫다고 못박아버리면서 보는눈이 없다고함. 심지어 왼쪽 고른 이유가 뭔지도 안 물어봐줌띠요옹?? 이럴 거면 왜 물어봄?근데 어디서 주워들은 건 있어서 그토록 참여형 수업을 하길 원하심.하지만 결국엔 교수한테 맞춰줘야함.그래서 수업 분위기가 완전 교수 비위 맞춰주기 수업같음ㅋ아부떠는 법 실전으로 배우고  싶으면 이 수업 들으세요~애초에 이런 수업에 sns도 안 하는 정년 직전 교수가 진행하는 게 말이 안 됨,1,neg
법학과라면 김희정 교수님 수업은 다 들으시는 걸 추천합니다.,5,pos
과제 없고 2주마다 한 번씩 퀴즈 있는데 그것만 잘 풀면 돼서 깔끔해요.,5,pos
유익한 강의였어요. 감상문은 미리 써두시는 게 좋아요.,5,pos
교수님 너무 유쾌하시고 부담없이 수강했습니다.,5,pos
과제는 책 대충읽고 구글링해서 교묘하게 겹쳐놓으면 4.5받음 표절에서 걸릴까 싶어 걱정했는데 그런거1도없다 심화토론서 문제 하나 모르겠다고 안적었는데 그래도 4점나옴 그리고 중간기말퀴즈는 족보랑 개똑같으니 족보 해피캠에서 구해다가 시험치러가는날 대중교통에서 외워가면 30점만점에 최하로맞아도 25점 개꿀임 강추 고특은 박승원,5,pos
너무 좋은 수업이에요. 시험도 쉽고 과제도 책에 있는 문제. 그닥 어렵지 않음!,5,pos
개 꿀 강..넘 좋아요!!세바시같은 느낌도 있구,5,pos
교수님 되게 친절하시고 주식이라던지 다른 일상얘기도 자주하시고 예나 사례도 많이 들어주셔서 이해하기 쉬움,5,pos
꿀강아니니까 다른 교양들으셈 ㅇㅇ. 명심하셈 듣지마삼,1,neg
나름 엄청 괜찮았던 강의 같았는데 개인적으로 비대면이라 아쉬웠음.. 대면으로 했으면 뭔가 얻어가는게 많았을 거 같은뎅..,4,pos
내가 살면서 만난 교수님들 중에 제일 좋았음. 학점도 엄청 잘 챙겨주심.,5,pos
고등학교에서 대학에 온 것은 학생뿐이 아니다.줄세우기식 도덕과목도 함께 올라왔다.,1,neg
"강의도 괜찮고 교수님도 괜찮습니다. 전반적으로 일본의 문화컨텐츠 발전상을 배울 수 있어 좋았던 것 같네요. 시험은 객관식, 단답형, 서술형 섞어 내시는 데 많이 어려운 편입니다. 공부한 만큼 나오긴 하지만 객관식, 단답형은 수업을 얼마나 잘 이해했는가라는 물어보는 게 아니고 거의 텍스트를 외워야 잘 볼 수 있더라구요...이렇다 보니 시험 끝나면 기억에 남는 게 거의 없어서 개인적으로는 아쉽네요.",4,pos
…………………. 친절하시고 좋아요 시험잘보세요,3,mid
강연도 재밌고 꿀강이고 친절하시고 좋았어요 놓치지마세요,5,pos
수시시험은 컨에프를 통해 커버가능 그렇다고해서 컨에프만 믿으면 안되고 강의 듣고 공부필요함,4,pos
성격이 ㄹㅈㄷ이심 성격이 급하고 대놓고 말하는 스타일이신듯 근데 피드백은 정확하게 주시는 듯,2,neg
웹과제가 좀 잊을만하면 나와서 좀 성가시는 함. 근데 교수님이 엄청 좋으심 하지만 녹강 시간은 좀 긴 편인듯 .. 화학 과목 자체가 매주 실험이 있어서 레포트 써야하는게 힘든 점이었음 ㅜ..,4,pos
참교수님이십니다본인의 의지만 있다면 수업 잘 따라가면 배울것도 많고 학점도 잘 받을 수 있어요,5,pos
야노 교수님 그저 빛... 다만 언어다보니 능력자들이 너무 많아서 시험 점수에 피바람이 부는 것 빼곤 나쁜 점 없음,3,mid
학점만을 보고 수강신청했던 과목이 상대평가로 바뀌면서 이도저도 아니게 돼버림아무도 예상치 못한 중간고사 이벤트와 더불어 미쳐버린 중간고사 평균 점수...에라 모르겠다~,1,neg
"중간고사가 상대평가임에도 불구하고, 내가 겪은 시험 중 최악의 진행.",1,neg
잘 이야기 해주는데 그냥 틀어놓고 듣는 듯 패논패 해주셨으면 좋겠다,3,mid
감상문 4개만 쓰면 됨.출석 40에 감상문 하나에 15점70점이 패스라 중간고사 2개를 빡세게 써서 30점 만점 받으면 출석만 다할 경우 기말 때 감상문 대충 써도 됨ㅋㅋ,5,pos
시험도 없고 감상문만 쓰면 돼서 좋은데 조금 귀찮음 한학기에 총 4개정도 쓰는데 이것만 쓰면 패스니까 일단은 꿀강임,4,pos
개꿀강의 ㄹㅇ 한학기동안 감상문 하나쓰면되고 시험도 없고 출석만 제대로 하면 돼서 개꿀,5,pos
뭔가 많이 알려주실려고 하시는데 교수님 강의력 그저 그런 편이라 딱히 강의 때 집중은 안 되는 느낌. 타과생이다 보니 공부하기에 좀 까다로운 이론들과 개념들이라 앞서 말한 것들과 종합해보면 결과적으로는 좀 난해한 수업이 아닌가 싶습니다. 과제는 깐깐하게 보시는 편인데 그에 비하면 시험 성적은 비교적 잘 주시는 편인 것 같네요. 학점 채울 게 아니면 딱히 수강할 메리트는 크게 없어 보입니다.,3,mid
강의가 이해가 쉬워요 다른 사람들에게도 이 강의를 추천하고 싶습니다.,5,pos
또 듣고싶어요 여러번 들을 수 있으면 좋겠어요,5,pos
교수님..까칠하신데 귀여우심조원들만 잘 만나면 참 좋을듯,3,mid
저는 다 좋았어요 교수님도 좋고 학우님들도 만날 수 있어서 배울 점도 많고 좋습니다.,5,pos
1학년 1학기에 들은걸 후회.. 철이 덜 들었던 나.. 다시 듣고싶다,4,pos
좋으신 분 같아요 제가 열심히 안해서 그렇지..,5,pos
실강 출석만 20분...한국인이 더 많지만 영어 수업...왜 하는지 모르겠는 팀플.....도망..쳐 ...,2,neg
교수님께서 친절하게 설명해주시고 시험도 쉽게 내주셔서 ㄹㅇ 꿀교양인듯!! 듣길 진짜 잘한 과목임,5,pos
개념 설명도 자세히 해주시고 이해가 안되는 부분 없이 하나하나 잘 다듬어주십니다,4,pos
개념을 자세히 설명해주어서 이해가 잘된다. 노베도 열심히만 한다면 학점 잘챙길 수 있어요,4,pos
이론강의는 괜찮음 시험도 어려운편 아니고 성적도 잘 주시는 편 근데 실험 때문에 던지고 싶음 매주 실험 있고 과제 있음 근데 의욕을 꺾는건 과제의 양이 아님 조교의 따라서  채점 기준이 너무 다름 다른 분반 학생이 실수로 우리 분반에 레포트 냈을땐 6점 이었는데 그쪽 조교가 다시 채점 했을땐 만점 받음 근데 성적은 같은 교수님 한테 받음 나중에 통계학 기반 코드로 조정 한다고는 하는데 완벽한 공정은 아니라고 봄,3,mid
팀플 조원 진짜 잘 만나야 합니다 .. 마케팅 사례 위주로 수업을 해주시기 때문에 재미있는 이야기도 많고 강의력 좋으셔서 재미있게 마케팅 공부할 수 있습니다,3,mid
"음 모르는 문제를 못 풀고있으면 하나하나 다 설명해주셔서 좋은데 풀지못하는 제 자신 ,,",4,pos
단순히 개념만 알려주는게 아니라 적절한 예시와 스토리텔링으로 어떻게 적용될 수 있는지를 보여주셔서 해당 개념의 습득이 보다 쉬움.,5,pos
ppt 가독성이 떨어지고 설명 중간중간 채팅에 올려주시는 내용 이해 불가능함.강의할 때 집중해서 들어야만 원하는 내용 챙길 수 있음.성적은 잘 주시므로 크게 불만은 없음,4,pos
일단 난이도를 떠나서 블랙보드에 올라오는 영상들이 거의 아무 의미가 없다고 보면 됨. 한시간이 넘는 영상인데 이론 강의 비율은 10~20분이고 나머지는 설명 없이 문제 푸는 장면이나 쓸데없는 상황극 영상같은 것만 나옴.,3,mid
기말은 범위가 너무 넓어서 아직 잘 모르겠지만 과제나 퀴즈 자체가 부담되는 과목은 아님. 취향에 맞으면 재미있게 들을 수 있을 것 같은데 솔직히 나는 이걸 왜 필수과목으로 하는지는 모르겠음,3,mid
교수님은 친절하고 착하심 근데 이론 강의 들을 때는 솔직히 너무 길고 지루했음. 배우는 내용의 양에 비해 강의 시간이 너무 늘어지는 느낌.,4,pos
이 과목 담당하시는 교수님들 중엔 제일 좋은 것 같다. 그런데 과목 자체가 헬 이라 이번 학기 제일 스트레스 받는 과목. 고전인증시험은 어렵다고 하긴 하던데 난 잘 모르겠음,3,mid
교수님 사람은 좋으신데 설명이랑 내용이 재미가 없음. 시험은 거의 서술형인데 점수는 생각보다 후함. 과제는 몇 개 있는데 어려운건 음,3,mid
코딩 알려주는 내용까지는 이냥저냥 해도 과제랑 시험 난이도 갑자기 올라가는 건.. 따라잡기 어려운 것 같아요ㅜㅜ,3,mid
이런거 왜 배우는지 모르겠다 문제해결을위한글쓰기? 그럼 내 주관으로 써야하는데 교수님 마음에 안들면 깎음. 그저 객관적인 글쓰기다. 답이 정해진 글쓰기다. 게다가 팀플은 또 엄청많다. 또 실시간 피드백은 지옥이다. 그리고 학점도 잘 안나오는듯하다.,2,neg
필기체가 좀 알아볼 수 없긴 하지만 집중해서 들으면 알아볼 수 있다. 그리고 일변수미적분학 과목 자체가 별로 어렵지 않기 때문에 난이도는 쉬웠다고 생각한다. 또 교수님께서 예제를 많이 풀어주시기 때문에 이해가 매우 쉽게 된다. 개인적으로 시험도 매우 쉬웠다고 생각한다. 수학 못해도 강의 잘 들으면 A+ 나온다.,5,pos
교수님이 열정적이시고 학생들 의견을 반영해주시려고 노력하시며 매우매우매우 친절하셔서 개인적으로 너무 좋습니당!,5,pos
교수님 너무 친절하시고 또 무교인 사람들에게 종교에 대한 새로운 모습을 보여 주는 아주 흥미로운 강의임.무교인 사람들도 한번쯤 들으면 좋은 경험의 시간이 될 수 있음. 교수님 너무 너무너무너무 친절....,5,pos
"이 강의를 수강하려면 그리스 신화속 인물들의 이름을 모두 암기해야 함.그래야 중간이나 기말 시험 문제 풀수 있음. 그냥 대충 했다간 시험 망침,걍 듣지 않는거 추천",1,neg
"교수님, 설명도 잘해 주시고 과제도 그리 많은 편은 아니세요...성적도 푼푼히 잘 주실듯나름 재미있었고 토익 실력을 키우는데 도움이 많이 되는 강의 였음",5,pos
"학사정보시스템에는 한국어 강의로 되어있으나 수업 계획서, 그리고 실재 강의는 영어 사용하심. 보통 한국인 교수님이 영어 수업 맡으면 7:3 에서 5:5비율로 한국어 섞어서 설명해 주시는데 이 수업은 학부 2학년 수업인데도 불구하고 8:2~9:1 비율로 영어를 사용하신다... 2학년 수업이라 내용이 무지막지하게 어려운편은 아닌데 설명을 거진 풀영어로 하다보니 이해가 안될 수 있는 부분이 존재할 수도 있음. 필자는 영어듣기가 좀 딸리다보니 교수님이 영어로 설명하시는 부분 중의 50퍼정도밖에 이해 못하는듯. 대부분 PDF교안이나 책보면서 이해하고 공부함. 성적은 그럭저럭 합리적으로 주시는듯(?)",4,pos
과제가 풀이 쓰는 거라 좀 귀찮은편 교수님 목소리 잘 들려서 좋음,4,pos
강의평보고 걱정 많이했는데 교수님이 갑자기 착해지신건지는 몰라도과제해설 글씨 또박또박해서 다 올려주시고 시험 답지도 다 올려주심(이렇게 해주는 교수님들이 별로 없음)수업은 천체 물리학 위주임 분광적인얘기 많이하는것보다 운동에 더 관심있으면 이 교수님 수업듣는거 나쁘지않음학점도 합리적으로 주신것같음천문수업 보다는 물리인데 주제가 천문인 느낌,4,pos
물리 이론에 이상한 반감이 있으신듯..양자역학 같은거 라고하실때 좀 놀랐습니다천문하면 양자 몰라도 되나요…,3,mid
"복수전공이라고 애들이 강제로 하는거라고 생각하고 대충 알려줌연계전공 애써서 듣고있는 사람은 뭐가되냐 ㅋㅋ묻는거 잘 알려주고 개인적인 피드백 잘해주는데전공자임에도 알려주는거 진짜없음디필매 1, 2 다들었지만 이수업을 들었다고 촬영기술 익힌거같지않음 ㅋㅋ 자기가 관심있는 부분만 느는 정도임걍 그렇게 수업할거면 수업을 맡질 말아라배우러 온 학생들한테 실례다",2,neg
교수님이 열정을 가지시고 수업을 해주시고강의력도 좋으십니다!과제는 시간이 지날수록 좀 많아지는 편입니다,5,pos
매주 과제가 나가는데 난이도가 높지는 않아요 그런데 기말이 80% 기말 조금이라도 못보면 큰일나요,4,pos
"진짜 교수님 최고,,, 학생들 생각도 많이 해주시고 수업도 잘해주시고 잡담도 가끔해주시는데 귀여우심 ㅎㅎ",5,pos
갓보미 교수님 학점 이렇게 주셔도 괜찮으신건가요?,5,pos
과제는 앉아서 4시간 정도만 투자하면 끝나고 시험은 어렵다고 하는데 난 개인적으로 생각했던 것보다는 쉬워서 조금 아쉬웠음. 확실히 포기하지만 않으면 얻어가는게 너무 많아서 나는 좋다. 물론 가끔씩 강의 내용이 산으로 가긴하는데 크게 신경쓰이지는 않는다.,5,pos
수업은 그냥 강의 교안 읽어줌. 비대면이면 틀어놓고 굳이 수업 안들어도 될 정도라 꿀임. 어차피 수업중에 뭐가 중요한지 강조해주거나 교안에 없는 내용을 추가로 설명해주는 경우는 거의 없음. 근데 뭔가를 얻어가고 배운다는 느낌은 없음.,3,mid
상세하게 설명해주시고 교수님이 정말 좋으신 분인 것 같다,5,pos
상세하게 설명해주시고교수님이 좋으신 분인 것 같다,5,pos
상세하게 알려주시고 과제가 많긴했는데 교수님이 좋으신 분인 것 같다,5,pos
"과제 ㅈㄴ 많고, 시험도 개빡셈. 그래도 열심히 해내면 실력은 확실히 보장함.수업력은 좋은 편.",4,pos
기말이 80%인데 분량이 A4 280p라 어이없음ㅋㅋ,3,mid
김경염 교수님 강의 별점 5점은 모두가 공감할거임,5,pos
강의 퀄리티가 상당히 떨어짐. 본인이 하는 것이 아니라 조교가 녹화해서 올리는 방식.교수 본인은 실시간 수업 정도만 진행. 당일 강의가 실시간인지 아닌지를 9시 수업인데 8시에 메일로 알려줌.과제가 진짜 많다. 다른 교수님들 강의 듣는 친구들 보면 이 교수 과제 하나가 그 쪽 한 학기 과제 정도.배우는 것도 많이 없고 얻어가는 것도 없는데 시간은 더럽게 많이 뺏는 과목.안 듣고 미루면 ㅈ될 것 같아서 걍 수강했는데 그래서 더 ㅈ됨. 그냥 무조건 다른 교수님 듣길 추천.본인이 웹프가 완전 처음인 초심자라면 절대 들으면 안됨.,1,neg
파이썬 . 온라인 강의가 비전공자가 배우는 내용과 똑같은 내용임.,2,neg
중간고사 없어요 근데 성적이랑 기말은 모르겟...,3,mid
"팀플 피드백 받을 때 상처 받았음,, 마치 이딴걸 글이라고 써왔냐는 듯한 말투로 서론본론결론이 뭔지 모르냐, 근거가 이상하다 이딴걸 근거라고 자료를 찾아왔냐,,싹 고쳐서 발표 후에는 칭찬 받기는 했는데 교수님으로서 1학년 학생에게 비난이 너무 과하신거 같음,, 말투가 원래 거친분이라고 생각하고 필터링해서 듣는게 좋을듯 까칠하시긴해도 수업도 재밌고 칭찬도 잘 해주심",3,mid
교수님 친절하다..근데 어떻게 중간고사 과제가 A4 6장이야..,2,neg
매주 과제만 풀면되는데 이런과목을 왜 배우는지 모르겠다,3,mid
교수님은 친절하신데 문제는 배우는것에 비해 너무 심화다..시험 그냥 과제수준으로 생각했다가 너무 어렵다,3,mid
이건 학생들을 배려한 수업이 아닌 거 같은 느낌…1을 알려주고 100을 시키심많이 배우는 것도 좋은 확실히 배우는 게 중요하지만 그게 힘든 과목이에요. 혼자 공부하면 된다고 하지만 어느정도 이해가 돼야 혼자해도 커버가 되지..,2,neg
교수님도 잘 가르치시고 과제는 살짝 문제집에서 나올법한 문제라 풀기 괜찮았음,4,pos
"c언어 1~3개월 입문한 정도면 문제 없이 풀 정도의 문제가 나옴 작년(2021)이랑 다르게 첫 인증 문제가 좀 빡세게 나왔는데 구현연습 미리 했으면 풀만함. (1차기준 지능기전 260+, 소융대 타학과 320+이면 통과 됨)미리 1~2시간정도 들여서 혼자서 공부하면 주에 4시간하는거 치고는 가성비 좋게 성적 나오고 이렇게 미리 풀어놓으면 수업공지 포함해서 30분 정도 확인 받으면 자러가도 뭐라 안함. 대신에 시험은 구현 위주니 알고리즘 뒤적거리지 말고 구현 노가다 연습을 주로 하는 걸 추천함.",5,pos
확실히 시험이 지엽적으로 또 굉장한 범위로 출제됩니다 교수님도 너무 좋으시고 수업도 흥미롭지만 확실히 시험과 두번있는 퀴즈가 좀 부담스러울 수 있다는 생각은 들어요 근데 또 꼼꼼히 공부하면 다른 철학이랑 연계되서 도움이 되는거 같기도,4,pos
학생들을 배려해주는 모습이 보이고 강의력도 좋습니다.,5,pos
학생들을 배려해주는게 보이고 잘 가르쳐주셔서 좋음,5,pos
"교수님 강의 엄청 열정적이십니다. 유니미 과제가 조금 많고, 수시 고사도 대면으로 합니다.그래도 저는 다른 과목에서도 변태창 교수님 수업 듣고 싶습니다.",5,pos
인터넷 과제가 보통 매주있음. 강의 이해 하기 쉬움.,5,pos
"질문도 굉장히 잘 받아주시고 교재 이외에도 풀만한 문제들을 많이 주셔서 좋음. 그치만 개념에 대한 설명이 충분하지 못하다고 느낄때가 종종 있어서 교재를 읽고, 다른 책도 찾아보며 공부를 할 때도 있음. 그거빼곤 학생들에게 관심도 정말 많으시고 너무 좋음💜",4,pos
"학생들과 꾸준히 소통하려 하심. 영어수업이라 새내기들 입정에서는 겁날 수도 있지만 피피티만 영어로 되어 있고 용어 해설하면서 수업 진행해 주셔서 겁내지 않아도 좋음. 성적은 정말 공부한 만큼 받아갈 수 있도록 단답형, 서술형도 섞어내시는데 공부 안하고 성적 받아갈 생각은 안하는게 좋음.",5,pos
영어 조금만 할 줄 알면 괜찮음 중간중간에 퀴즈같은거 내주시는데 풀만함 수업에 대한 열정이 꽤 있으심,5,pos
듣지말라면 듣지마 이 ㅅ1ㅂ성적 될 수 있는대로 낮게 주는 사람임4학년이고 뭐고 무자비함,1,neg
강의력은 좀 떨어지십니다 그래도 강의 듣고 책으로 강의 내용 정리하고 시험은 과제 내주시는 거 본인이 혼자 이해하고 풀 수 있으면 쉽게 풀 수 있어요,4,pos
매주 레포트가 좀 빡세긴 한데 조교에 따라 채점 기준이 다른 듯 9시 실험은 좀 빡셈,4,pos
과제 별로 없고 시간도 별로 안 걸림 시험도 쉬운 편,5,pos
캠도 안 키고 좋긴 한데 과제가 좀 많은 편임 조별 과제 발표할 때 교수님이 가끔 반박해주셔서 무서움,4,pos
과제 거의 없고 퀴즈만 가끔 있는 수준 강의 내용도 들을만함,5,pos
과제도 거의 없고 쉬워서 좋음 시험도 쉬운 편인데 영어라 좀 그럼,5,pos
레포트 과제를 거의 매 실험수업마다 제출하는 것 빼고는 수월한 강의이다. 교수님 강의는 최대한 이해시켜 주시려는 교수님의 노력이 대단함. 강의력이 매우 좋으신편.,5,pos
교수님이 친절하시고 메일 답도 빨리 해주십니다팀플이 쉴틈없이 몰아치는건 힘들었어요,4,pos
교수님이 독설 하는거 즐기시는듯..난 아니지만 “이렇게 발표하시면 부끄럽지 않으세요”란 말을 실제로 여러번 하심;근데 난 감상문 앵간하게 써서 별 말 안들음,2,neg
온라인 강의 듣고 수업시간에 예제 푸는 형식인데본인이 풀면서 개인적으로 물어봐야함교수님이 푸는거 보여주시는거나 답지가 따로 안나와서 좀 짜증남 10문제 이하로 매주 과제문제 있는데 노베기준으로 좀 난이도가 있음중간은 어려웠는데 기말때 더 어렵다고 함..,3,mid
과제도 없고 재미있게 들었습니다!강의 시간이 길어서 힘들 줄 알았는데 쉬는 시간도 주셔서 좋았습니다!,4,pos
좋다고생각하면 좋고 나쁘다고 생각하면 한없이 나쁨생각하기나름.,5,pos
전공보다 더 빡셈 다른교수님꺼 들을걸 개후회중 분명 3학점인데 실강에 대면수업만해도 3시간인데 거기다가 추가적으로 매주 동영상강의 2개나 올리심.,1,neg
"일단 고전 독서 인증 시험 이건 찍기 시험이고, 교수님께서 에세이 피드백 해주실 때 너무 꼽 주는 것처럼 말씀하셔서 이게 피드백 받는 시간인지 내가 뭘 잘못해서 혼나고 있는 시간인지 모르겠음...그리고 피드백을 받아도 대체 뭘 원하는 건지 모르겠다..",1,neg
잘 가르쳐주시고 좋습니다 경제학원론 들으실거면 김도환교수님 듣는게 가장 좋을 거 같아요,5,pos
"교수님이 좋으심설명도 잘 해주시고 과제도 정성껏 도와주심단, 과목이 별로임",3,mid
팀플이랑 피드백 조금 빡치긴하는데 그래도 할만한 정도 다만 확실하게 가이드라인이 있었으면 좋을듯,4,pos
교수님 착하시고 쿨하셔서 굉장히 좋아요!시험도 어려워서 다 같이 못 보니까 걱정말고 책 많이 푸세요!,5,pos
C언어 자체가 어렵다는 단점 밖에 없습니다. 교수님이 정말 스윗하시고 학생들에게 관심이 많으십니다.질문도 잘 받아주시고요,5,pos
"ㄹㅇ 3학점인듯한 6학점짜리 수업퀴즈 6번에 중간1,2 기말까지 다해서 거의 매주 시험을 봄객관식인데 맞으면 +5, 틀리면 -1 함부로 찍지도 못함근데 할거는 많은데 얻는것도 그만큼 많다고 생각해요교수님이 정말 열정이 넘치셔서 6학점어치를 가르쳐주셔요신호및시스템을 조졌었는데 이 퀴즈 덕에 반강제적으로 공부하느라이만큼 따라온게 믿기지가 않네요..교수님께 감사드립니다",4,pos
퀴즈 시험 합쳐서 9번 봄 + 객관식 운빨중요함소통을 중시하는듯 얘기하지만 절대적으로 일방향 소통 정신나갈거같음,1,neg
친절하게 잘 가르쳐주시고 문제도 다양하게 풀어주신다. 다만 아쉬운 점은 과제를 할때 배우지 않은 단어들이 가끔 나온다.,4,pos
"과제는 어렵지 않고,  시험 문제도 어렵지 않음.",4,pos
강의 꼼꼼한데 숙제로 나오는 과제는 어렵다..,3,mid
화약류관리기사 따기 전에 보면 너무 좋을듯. 교수님께서 이해하기 쉽게 잘가르쳐주십니다.,5,pos
과제의 양이 많지만 중간고사 공부한다 생각하면서 풀어도 너무 많음,3,mid
교수님이 열심히 가르쳐주심 근데 과제  2개를 시험기간에 내면서 여러분 힘들죠? 라고만 안하셨으면 좋겠음,3,mid
물리 특유의 이론만 알면 틀리는 문제들이 그대로 나온다 예제만 보지 말고 문제집사서 풀어보는걸 추천,3,mid
1학년 1학기는 고3의 연장선이라 할만했으며 과제의 경우도 그닥 어렵진 않았음,3,mid
가장 맘편히 할 수 있고 과제도  퀴즈여서 쉽게 풀수 있음,5,pos
발표자료를 만들따 정확하게 어떤걸 요구하는지 잘모르겠음..,3,mid
2주에 한번씩 과제가 나오는데 난이도가 쎈B정도여서 어렵지 않게 문제를 풀 수있움. 하지만 중간고사 문제수가 많아서  시간이 좀 부족함,3,mid
그냥 교수자질이 없는 사람답도없는 문제를 총 11문제 중에 2개를 끼워놓고 가까운거 고르라고 하는 무지하고 무능한 인간그냥 반도체 독학하는게 스트레스 덜받고 효율도 좋아요,1,neg
설명은 국어책을 읽듯이 프린트종이를 그냥 읽는다는 느낌,3,mid
"솔직히 시험 너무 지엽적으로 내는 것같음, 그래도 수업 자체는 할만함",4,pos
수업때 캠 안 켜서 좋아요 그리고 그렇게 안 빡세요,5,pos
수업 자체는 어렵지 않다만 수업외적인 말씀을 자주 하셔서 중요한 키포인트만 캐치하면 시험은 어렵지 않습니다,3,mid
