lecture,professor,review,clean_text,star
C프로그래밍및실습,김도년,다른 강의에 비해 조금은 버거울 수 있는 과목이지만 교수님 친절하시고 좋습니다.인증시험들이 문제가 까다로우니 준비 잘하시는 게 좋아요. 갑자기 문제 수준이 강의와 과제에 비해 확 올라가니 미리 여러 예제 푸는게 좋습니다.실습 빠지지 않고 실습문제 열심히 풀면 학점 잘 나올 수 있습니다.개인적으로 교수님께서 학생들에게 관심이 많으셔서 좋았습니다.,다른 강의 비다 조금 버겁다 수 있다 과목 교수 님 친절하다 좋다 인증 시험 들 문제 까다롭다 준비 하다 게 좋다 갑자기 문제 수준 강의 과제 비다 확 올라가다 미리 여러 예제 푸다 좋다 실습 빠지다 않다 실습 문제 풀 학점 자다 나오다 수 있다 개인 적 교수 님 학생 들 관심 많다 좋다,5
C프로그래밍및실습,김도년,다양한 문제를 많이 풀어볼 수 있어서 좋습니다.교수님이 질문도 친절히 받아주시고 교수님이 내주는 과제 복습 열심히만 해도 성적잘나와요.,다양하다 문제 풀다 볼 수 있다 좋다 교수 님 질문 친절하다 받다 교수 님 내주다 과제 복습 만 해도 성적 잘나오다,5
C프로그래밍및실습,김도년,C를 이미 알고 있어서 괜찮았어요웹엑스 수업 끝날때 하트 그리고 나가야됨!ㅎㅎㅎ,를 알 있다 괜찮다 웹 엑스 수업 끝나다 때 하트 나가야 되다 ㅎㅎㅎ,5
C프로그래밍및실습,김도년,교수님 되게 좋은 분이시고 학생들 도와주려고 노력하시는게 보입니다기본적인 공부는 강의 듣고 혼자 열심히 해야돼요,교수 님 좋다 분 학생 들 도와주다 노력 하다 보이다 기본 적 공부 강의 듣다 혼자 하다 돼다,5
C프로그래밍및실습,김도년,교수님 너무 좋으세요ㅠㅠㅠ 어렵긴한데 그만큼 실력 많이 늘어요,교수 님 좋다 ㅠㅠㅠ 어렵다 기다 실력 늘다,5
C프로그래밍및실습,김도년,기여우심 인증말고 기말고사를 실기 필기 두번에 보는데 필기는 쫌 짜증났음,여우 심 인증 기말고사 실기 필기 번 보다 필기 쫌 짜증나다,2
C프로그래밍및실습,김도년,질문하면 답변은 잘해주십니다수업은 ppt 읽어주기,질문 하다 답변 해주다 수업 읽다,5
C프로그래밍및실습,김도년,교수님께선 강의를 별로 안 해주십니다. 동영상 강의 듣고 같이 실습 위주로 수업을 진행하십니다. 저에게는 이런 수업이 더 맞았습니다. 코딩은 수업보단 직접 해보는 것이 더 중요하니까요. 조교님 두 분과 교수님께 질문 드리며 실습하니 실력이 빠르게 늘었습니다. 교수님이 과제와 퀴즈를 자주 내주시는데 시간 투자만 하면 실력은 저절로 따라옵니다. 전과 첫 학기라서 겁을 먹고 열심히 했더니 재수강 반임에도 좋은 성적 받았습니다.조교님들께서 어려운 문제도 질문 받아 주셔서 너무나 감사했습니다.,교수 님 강의 별로 안 해주다 동영상 강의 듣다 실습 위주 수업 진행 하다 저 이렇다 수업 더 맞다 코딩 수업 직접 해보다 것 더 중요하다 요 조교 님 두 분과 교수 님 질문 드리다 실습 하다 실력 빠르다 늘다 교수 님 과제 퀴즈 자주 내주다 시간 투자 하다 실력 저절로 따라오다 전과 첫 학기 겁 먹다 하다 재수강 임 좋다 성적 받다 조교 님 들다 어렵다 문제 질문 받다 주다 감사하다,5
C프로그래밍및실습,김도년,교수님이 실제 가르쳐주시는 건 없다고 보면 됨. 온라인 강의 들으며 개념 알고 실시간 강의에서는 문제 푼다고 생각하면 편함. 혼자 공부하는 것이 아니라 교수님께 배우고 싶다면 비추.,교수 님 실제 가르치다 건 없다 보다 되다 온라인 강의 들다 개념 알 실시간 강의 문제 풀다 생각 하다 편하다 혼자 공부 하다 것 아니다 교수 님 배우다 싶다 비추다,2
C프로그래밍및실습,김도년,"단점-강의를 잘 하신다고 생각이 들지는 않았음.좋았던 점- 본인은 C언어는 물론, 다른 프로그래밍 언어를 한번도 접해본 적이 없음. 그러나 교수님은 매주 주시는 과제와 실습문제를 많이 주심. 그리고 본인은 모든 문제를 스스로 풀려고 노력함.  풀리지 않는 문제는 교수님께 자문을 구했고, 그 때마다 친절하고 자세하게 알려주셨음. 그 결과 1차, 2차 인증시험에서 좋은 점수를 받았고, 기말고사를 보고난 후 총 학점은 A+을 받았음. 결론-C언어에 대한 지식이 없더라도 스스로 열심히 할 자신만 있다면 이 교수님의 강의를 적극적으로 추천함.",단점 강의 자다 하다 생각 들다 않다 좋다 점 본인 언어 다른 프로그래밍 언어 한번 접 해보다 적 없다 교수 님 주시 과제 실습 문제 주심 본인 모든 문제 스스로 풀다 노력 함 풀리다 않다 문제 교수 님 자문 구 하다 그 때 친절하다 자세하다 알다 그 결과 차 차 인증 시험 좋다 점수 받다 기말고사 보고 후 총 학점 받다 결론 언어 대한 지식 없다 스스로 하다 자신 있다 이 교수 님 강의 적극 적 추천 함,5
C프로그래밍및실습,김도년,앞으로도 이 교수님 들을거냐고 물으면 Yes할 것이다.다른 분들의 평가대로 실습 문제가 굉장히 많아서 혼자서 공부한다면 실력이 느는게 실감이 날 것이다.,앞 이 교수 님 들다 물다 하다 것 다른 분 들 평가 실습 문제 굉장하다 많다 혼자 공부 하다 실력 늘다 실감 날 것,5
C프로그래밍및실습,김도년,"음,, 온라인 강의여서 그런진 모르겠는데, 블랙보드에는 옛날 강의 올라와있고, 실강은 딱히 수업을 하기보다는 과제 내주고 풀어보는 시간..? 의 느낌이 강했음.  물론 과제로 문제를 많이 풀다보니까 연습되고 좋았음!! 그리고 교수님 보다보면 귀여우심",음 온라인 강의 그렇다 모르다 블랙보드 옛날 강의 올라오다 실강 딱하다 수업 하다 과제 내주다 풀다 보다 시간 의 느낌 강하다 과제 문제 풀다 보 연습 되다 좋다 교수 님 보다 보다 여우 심,4
C프로그래밍및실습,김도년,온라인 강의로 진행되었고 매주 한 시간 반씩  두 수업으로 원격 수업했음.본인 1차 2차 시험 모두 만점받았는데 c언어 처음 배웠고 그냥 교수님이 주신 과제와 실습문제 최대 세 번 돌려보면서 연습했음.밑에 다들 썼지만 문제 많이 주셔서 연습하기 좋음!다만 수업은 좀 못하시는듯. 그리고 가끔씩 문제 올려주셔야하는데 깜빡하고 안올리시기도 함.수업시간에 학생들한테 돌발질문 하는 편.학점은 인증시험 통과하면 최소 B이상 C D없고 커트라인도 쉬워서 학점 받기 편함,온라인 강의 진행 되어다 하다 시간 반 씩 두 수업 원격 수업 하다 본인 차 차 시험 모두 만점 받다 언어 처음 배우다 그냥 교수 님 주신 과제 실습 문제 최대 세 번 돌리다 보다 연습 하다 밑 들다 써다 문제 주다 연습 하다 좋다 다만 수업 좀 하다 가끔 씩 문제 올려주다 깜빡 올리다 기도 함 수업 시간 학생 들 돌발 질문 하다 편 학점 인증 시험 통과 하다 최소 이상 없다 커트라인 쉽다 학점 받다 편하다,5
C프로그래밍및실습,김도년,교수님이 모르는거 있으면 옆에 붙어서 잘 가르쳐주심. 강의력은 그냥저냥,교수 님 모르다 있다 옆 붙다 자다 가르치다 주심 강의 력 저,5
C프로그래밍및실습,김도년,갓도년ㅠㅠㅠ 출석 널널하시고 귀여우시고 자료많고 천사 교수님무심해 보이시는데 기억력 좋으셔서 어떤 학생인지 다 기억하심 깜짝 놀람,갓 년 ㅠㅠㅠ 출석 널 널다 귀엽다 자료 많다 천사 교수 님 무심하다 보이다 기억 력 좋다 어떻다 학생 기억 하 심 깜짝 놀람,5
C프로그래밍및실습,김도년,갓도년 교수님 당신이 다른 교수님을 고급 C에서 본다면 왜 갓도년이라고 불리시는 지  알게 될겁니다.,갓 년 교수 님 당신 다른 교수 님 고급 보다 왜 갓 년 불리다 지다 알 되다 겁니다,5
C프로그래밍및실습,김도년,요즘시대에 손코딩이라뇨 교수님..ㅠㅜㅜㅜ,요즘 시대 손 코딩 뇨 교수 님 ㅠㅜㅜ,5
C프로그래밍및실습,김도년,난 c가 자신있다 하면 듣기. 난 무조건 에이쁠 바라보고 있고 c를 모른다 하면 듣기. 난 그냥 비쁠만 보고있다 하면 다른교수 찾아가기.,난 가다 자시다 하다 듣기 난 무조건 이쁘다 바라보다 있다 를 모르다 하다 듣기 난 그냥 비쁠 보다 하다 교수 찾아가다,5
C프로그래밍및실습,김도년,본인이 C기본기 어느정도 알고 프로독학러이면 그냥 들어자료는 교수님들중에 제일 많이 주는거 사실출결도 되게 프리함그냥 인증시헌 잘보고 기말때 필기시험만 좀 보면 성적 다 잘 나올듯,본인 본기 정도 알 프로 독학 러 이 그냥 들다 자료 교수 님 들다 중 제일 주다 사실 출결 프리 함 그냥 인증 헌 보다 말때 필기 시험 좀 보다 성적 자다 나오다,2
C프로그래밍및실습,김도년,도년킴... 혼자서 잘할자신 있는사람은 이만한 강의가 없음. 일단 실습문제를 다른 교수님들보다 많이 주심. 기본적인 개념내용도 다 알려주시고 질문도 잘 받아주시니 배우는데 큰 지장은 없는듯. 다만 목소리가 작으셔서 잘 안들릴 떄가 많음. 그리고 지각해도 출석으로 바꿔주심. 한학기 수업듣는데 정말 편하게 들은듯.,도년킴 혼자 하다 자신 있다 사람 이만 강의 없다 일단 실습 문제 다른 교수 님 들보 주심 기본 적 개념 용도 알다 질문 자다 받다 배우다 크다 지장 없다 다만 목소리 작다 자다 들리다 떄 많다 지각 하다 출석 바꾸다 주심 학기 수업 듣다 정말 편하다 들다 듯,5
C프로그래밍및실습,김도년,도년님... 출석 널널하고 교수님 눈치 볼 필요가 없이 그냥 푸근한 할아버지 느낌... 필기시험 볼만했고 인증시험은 1차는 예제 주시는것만 풀면 다 풀 수 있고 2차만 조금 족보 찾아서 풀어보면 될 듯. 전체적으로 평타 이상! 그렇지만 고c까지만 도년님 듣고 런 해야겠음,도년 님 출석 널널 교수 님 눈치 볼 필요 그냥 푸근하다 할아버지 느낌 필기 시험 볼 하다 인증 시험 차다 예제 주다 풀 풀 수 있다 차만 조금 족보 찾다 풀다 보다 되다 듯 전체 적 평타 이상 고 도년 님 듣다 런 하다,5
C프로그래밍및실습,김도년,머리가 엄~청 좋아서 혼자 다부실수있으면 들으세용 사람마다 평이다를듯 완전솔플해야합니당,머리 엄 청 좋다 혼자 부시다 들다 사람 평이 다르다 완전 솔 하다 하다,4
C프로그래밍및실습,김도년,재수강한다면 개꿀 아니면 힘들듯 예제 많이주는건 좋움,재수 강하다 개꿀 아니다 힘들다 예제 주다 좋다 움,5
C프로그래밍및실습,김도년,질문을해도 못받아줌.. 모르시는듯.. 맨날조교시킴.수업할때 준비안해와서 헤메시는모습 종종보임.예제만 많이줌. 독학하실분들은 추천.,질문 을해 받다 줌 모르다 조교 시킴 수업 하다 때 준비 해오다 헤메 시 모습 종종 보임 예제 줌 독학 하 실 분들 추천,5
C프로그래밍및실습,김도년,어느정도 혼자 공부하는거 잘 하는 사람한텐 진짜 좋은거 같아요. 진도 나갈때 필요한 지식 알려주시고 아웃라인 잡아주셔서 실습하면서 공부하기 좋아요. 질문하면 더 자세하게 알려주시고 친절하세요. 진도나갈땐 실습답 손으로 써서 내는거 가끔 있고 필기시험도 가끔 있어요. 시험주간이랑 공휴일에도 수업을 하신게 좀 힘들었어요.,정도 혼자 공부 하다 자다 하다 사람 한텐 진짜 좋다 거 같다 진도 나가다 때 필요하다 지식 알다 아웃 라인 잡다 실습 하다 공부 하다 좋다 질문 하다 더 자세하다 알다 친절하다 진도 나가다 땐 실습 답 손 써다 내다 가끔 있다 필기 시험 가끔 있다 시험 주간 공휴일 수업 하다 좀 힘들다,2
C프로그래밍및실습,김도년,갓 도년 사랑합니다예전보다 더 열심히하시는듯 열정최고문제도 많이주시고 모르면 설명도 잘해주심,갓 도년 사랑 하다 예전 더 하다 열정 최고 문제 주시 모르다 설명 하다 주심,5
C프로그래밍및실습,김도년,머리가 좋다면 이 수업 듣는게 오히려 좋을수도 있어요좋지 않다고 생각되면 다른 교수님꺼 들으시는게 나을꺼에요,머리 좋다 이 수업 듣다 오히려 좋다 있다 좋다 않다 생각 되다 다른 교수 님 끄다 들다 나다,5
C프로그래밍및실습,김도년,중간중간 쪽지시험 봄.장점 :예제 많이주심. 이거 풀다보면 실력 많이늘어있음.이것만잘풀어도 인증 걱정 x교수님의 부족한 강의력을 ppt 가 다 커버해줌. 진짜 ppt자료 굳알려달라고 하면 친절히 옆에 붙어서 1:1로 알려주심단점 :교수님 목소리가 작음약간 답답,중간 중간 쪽지 시험 봄 장점 예제 주심 거 풀다 보다 실력 늘다 것 자다 풀다 인증 걱정 교수 님 부족하다 강의 력 가다 커버 해주다 진짜 자료 굳다 알다 달라 하다 친절하다 옆 붙다 로 알다 주심 단점 교수 님 목소리 음약 간 답답,5
C프로그래밍및실습,김도년,교수님 완전 친절하시고  열심히 알려주심 근데 좀 빡셀 수있음,교수 님 완전 친절하다 알다 주심 좀 빡셀 수 있다,5
C프로그래밍및실습,김도년,출석 진짜 널널코딩 혼자서도 문제  잘 풀수있으면 추천중간은 인증으로 대체하고2차인증이 또 있음기말때 필기 실기 시험 둘다 봄 각각 1시간씩,출석 진짜 널널 코딩 혼자 서도 문제 자다 풀다 추천 중간 인증 대체 차 인증 또 있다 말때 필기 실기 시험 두다 봄 각각,5
C프로그래밍및실습,김도년,"출석체크 널널, 자유로운 분위기 왜 자유롭냐면 10번 수업을 한다면 2번은 강의하시고 8번은 각자 코딩하세요임 다 풀면 집에 가셈 못풀면 남고 근까 혼자서 잘 할 수있으면 개꿀인 수업 자신없으면 신청 ㄴ 많이들 포기하더라 중간에",출석 체크 널널 자유롭다 분위기 왜 자유롭다 면 번 수업 하다 번은 강의 하다 번은 각자 코딩 하다 임 풀 집 가다 풀다 남고 근까 혼자 자다 하다 수 있다 개꿀 수업 자신 없다 신청 ㄴ 들다 포기 하다 중간,5
C프로그래밍및실습,김도년,교수님 정말 친절하시고 어려운 친구들 잘 도와주십니다...지각해도 오기만 하면 출석으로 바꿔줍니다인증 두번  마지막 기말 한번 있습니다확실히 수업을 통해 배우는건 없어서 본인이 직접 코딩하면서 익히는게 더 나을수도 있습니다...,교수 님 정말 친절하다 어렵다 친구 들 자다 도와주다 지각 하다 오기 하다 출석 바꾸다 줍다 인증 번 마지막 말 한번 있다 확실하다 수업 통해 배우다 없다 본인 직접 코딩 하다 익히다 더 나다 있다,4
C프로그래밍및실습,김도년,지각해도 말하면 출석처리해줌비율 채워줌질문 잘받아줌대신 수업을 못하심...출석 잘 아나갈건데 혼자 해도 잘하는 사람한테 강추,지각 하다 말 하다 출석 처리 해주다 비율 채우다 줌 질문 받다 줌 대신 수업 못 하 심 출석 자다 나가다 혼자 해도 하다 사람 강추,2
C프로그래밍및실습,강병현,교수님은 친절하신데 문제는 배우는것에 비해 너무 심화다..시험 그냥 과제수준으로 생각했다가 너무 어렵다,교수 님 친절하다 문제 배우다 비다 심화 시험 그냥 과제 수준 생각 하다 어렵다,5
C프로그래밍및실습,강병현,"c언어 1~3개월 입문한 정도면 문제 없이 풀 정도의 문제가 나옴 작년(2021)이랑 다르게 첫 인증 문제가 좀 빡세게 나왔는데 구현연습 미리 했으면 풀만함. (1차기준 지능기전 260+, 소융대 타학과 320+이면 통과 됨)미리 1~2시간정도 들여서 혼자서 공부하면 주에 4시간하는거 치고는 가성비 좋게 성적 나오고 이렇게 미리 풀어놓으면 수업공지 포함해서 30분 정도 확인 받으면 자러가도 뭐라 안함. 대신에 시험은 구현 위주니 알고리즘 뒤적거리지 말고 구현 노가다 연습을 주로 하는 걸 추천함.",언어 개월 입문 정도 문제 풀 정도 문제 나오다 작년 다르다 첫 인증 문제 좀 빡세 나오다 구현 연습 미리 하다 풀 함 차 기준 지능 기전 융 대 학과 이면 통과 되다 미리 들이다 혼자 공부 하다 주 가성 비 좋다 성적 나오다 미리 풀다 수업 공지 포함 하다 정도 확인 받다 자다 뭐라다 안함 대신 시험 구현 위주 알고리즘 뒤 적 거리 구현 노가다 연습 주로 하다 걸 추천 함,5
C프로그래밍및실습,강병현,온라인 강의 듣고 수업시간에 예제 푸는 형식인데본인이 풀면서 개인적으로 물어봐야함교수님이 푸는거 보여주시는거나 답지가 따로 안나와서 좀 짜증남 10문제 이하로 매주 과제문제 있는데 노베기준으로 좀 난이도가 있음중간은 어려웠는데 기말때 더 어렵다고 함..,온라인 강의 듣다 수업 시간 예제 푸다 형식 본인 풀다 개인 적 물어보다 야하다 교수 님 푸다 보여주다 답지 나오다 좀 짜증나다 문제 이하 과제 문제 있다 노베 기준 좀 난이도 있다 중간 어렵다 말때 더 어렵다 함,2
C프로그래밍및실습,김천식,C언어 자체가 어렵다는 단점 밖에 없습니다. 교수님이 정말 스윗하시고 학생들에게 관심이 많으십니다.질문도 잘 받아주시고요,언어 자체 어렵다 단점 없다 교수 님 정말 스윗 하다 학생 들 관심 많다 질문 자다 받다,5
C프로그래밍및실습,김천식,교수님이 c언어 설명해주시고 매시간마다 문제풀이도 해주셔서 만약 혼자 못풀어도 보면서 같이 할수 있습니다,교수 님 언어 설명 해주다 시간 제풀이 해주다 만약 혼자 풀다 보다 하다 있다,5
C프로그래밍및실습,김천식,선생님이 너무 좋고 c언어 미리 알아도 문제 빨리 풀면 일찍 나갈 수 있어서 너무 좋았음. 카톡으로도 가끔 질문 드렸는데 항상 답변도 잘 해주시는 교수님,선생님 좋다 언어 미리 알다 문제 풀 일찍 나가다 수 있다 좋다 카톡 가끔 질문 드리다 항상 답변 자다 해주시 교수 님,5
C프로그래밍및실습,김천식,교수님이 학생 한명한명 잘 챙겨주고 친절함. 중간에 과제와 수업 난이도가 어려워지는 부분이 있는데 그래도 몇번 해보면 할만함. 과제 양이 좀 많은 편이지만 어렵지 않았고 코딩 실력이 는다는게 느껴짐.,교수 님 학생 명 명 자다 챙기다 친절하다 중간 과제 수업 난이도 어려워지다 부분 있다 몇번 해보다 하다 함 과제 양 좀 많다 편이 어렵다 않다 코딩 실력 늘다 느껴지다,5
C프로그래밍및실습,김천식,엄청 꼼꼼하시고 학생들 잘 챙겨주심.항상 강의 내용보다 더 많은 내용을 알려주셔서 좋았음.카톡으로 안내 철저하게 해주시고 교수님이 직접 전화도 해주심.,꼼꼼하다 학생 들 자다 챙기다 주심 항상 강의 내용 더 많다 내용 알다 좋다 카톡 안내 철저하다 해주시 교수 님 직접 전화 해 주심,5
C프로그래밍및실습,김천식,상당히 열심히 가르쳐주시고 카톡으로 질문답변도 해주시고 과제에서 고칠부분들도 알려주시고 좋은교수님 c언어 특인지 모르겠는데 시험이 생각보다어렵고 중간에 과제가 갑자기 어려워져서 당황할수있는 포인트가 생김,상당하다 가르치다 카톡 질문 답변 해주시 과제 부분 들 알다 좋다 교수 님 언어 특 모르다 시험 생각 어렵다 중간 과제 갑자기 어려워지다 당황 하다 포인트 생기다,4
C프로그래밍및실습,김천식,질문도 항상 꼼꼼하게 답해주심시험안내같은거 철저하게 알려주심스윗한 교수님근데 과제가 좀많음그리고 문제가 다소 어려움,질문 항상 꼼꼼하다 답 하다 주심 시험 안내 같다 철저하다 알다 주심 스윗 교수 님 과제 좀 많다 문제 다소 어려움,5
C프로그래밍및실습,김천식,학생들한테 신경도 많이 써주시고 관심이 느껴짐. 다음 강의도 이 교수님 수업을 듣고싶음,학생 들 신경 써주다 관심 느껴지다 다음 강의 이 교수 님 수업 듣다,5
C프로그래밍및실습,김천식,교수님은 좋으신 분이나 교수님이 과제 외에 주시는 문제는 그리 많지 않음 그리고 교수님께서 직접 출제하시는 퀴즈 문제나 기말고사의 경우 오류가 종종 있고 명확히 조건을 주지 않아 힘들었음,교수 님 좋다 분 교수 님 과제 외 주시 문제 그리다 많다 않다 교수 님 직접 출제 하다 퀴즈 문제 기말고사 경우 오류 종종 있다 명확하다 조건 주지 않다 힘들다,2
C프로그래밍및실습,김천식,학생 한 명 한 명 꼼꼼히 챙기시는 편이다.. 매주 퀴즈를 웹미팅으로 하고 기말은 매우 어렵게 내셨음. 하지만 내는 문제들이 많이 생각을 해봐야 풀리는 편이어서 실력을 쌓기에는 좋은 것 같다.,학생 하다 명 하다 명 꼼꼼하다 챙기다 편이 퀴즈 웹 미팅 하다 말 매우 어렵다 내다 내다 문제 들 생각 해보다 풀리다 편 실력 쌓다 좋다 것 같다,4
C프로그래밍및실습,김천식,학생들 신경 많이 써주시고  질문도 잘 받아주십니다  인증시험 말고 기말은 어려운편,학생 들 신경 써주다 질문 자다 받다 인증 시험 말 어렵다 편,5
C프로그래밍및실습,박태순,정말 빡셉니다 퀴즈도 거의 매주 보고 과제도 많아요..그렇지만 얻어가는 것 또한 많습니다아 물론 학점은 아니지만요,정말 빡셉니 퀴즈 거의 보고 과제 많다 얻다 것 또한 많다 학점 아니다 요,5
C프로그래밍및실습,박태순,"과제 ㅈㄴ 많고, 시험도 개빡셈. 그래도 열심히 해내면 실력은 확실히 보장함.수업력은 좋은 편.",과제 ㅈㄴ 많다 시험 개빡셈 해내다 실력 확실하다 보장 함 수업 력 좋다 편,4
C프로그래밍및실습,박태순,교수님이 너무너무 친절하시고 이해안되는거있으면 끝까비 알려주세요 학원쌤같아요 ㅋㅋㅋㅋ,교수 님 친절하다 이해 안되다 끝 까비 알다 학원 쌤 같다 ㅋㅋㅋ,5
C프로그래밍및실습,박태순,"수업에 잘하는 사람도 많고 퀴즈, 과제가 주기적으로 있습니다.교수님이 주기적으로 동기부여도 해주시고 어려운 것도 잘 설명해주셔서 확실히 코딩 실력은 많이 좋아지는 것 같습니다.",수업 하다 사람 많다 퀴즈 과제 기적 있다 교수 님 기적 동기부여 해주시 어렵다 것 자다 설명 해주다 확실하다 코딩 실력 좋아지다 것 같다,5
C프로그래밍및실습,박태순,퀴즈와 과제와 실습문제가 존재해서 공부할게 많고 시험이 다소 어렵지만 과제나 실습문제 풀이 해주신거 보기만 한다면 시험 잘보기 쉬움,퀴즈 과제 실습 문제 존재 하다 공부 하다 많다 시험 다소 어렵다 과제 실습 문제 풀이 해주다 보기 하다 시험 보다 쉬움,5
C프로그래밍및실습,박태순,그냥 잘 가르쳐주심. 매번 퀴즈나 과제 풀이 동영상 올려주시는데 여러가지 방법으로 풀어주심. 이게 풀었던 문제라고 쓸모 없다고 생각할 수도 있는데 그냥 듣는게 좋음.,그냥 자다 가르치다 주심 매번 퀴즈 과제 풀이 동영상 올려주다 여러가지 방법 풀다 주심 이 풀다 문제 쓸모 없다 생각 하다 수도 있다 그냥 듣다 좋다,5
C프로그래밍및실습,박태순,강의는 모든 c프 강좌 동일한 영상을 수강함 이 교수님은 여러가지 코딩 팁과 기초를 잡아주기 때문에올려주시는 영상만 잘 보면 인증 무난히 통과 가능해 보인다,강의 모든 프 강좌 동일하다 영상 수강 함 이 교수 님 여러가지 코딩 팁 기초 잡다 때문 올려주다 영상 자다 보다 인증 무난 통과 가능하다 보이다,5
C프로그래밍및실습,박태순,이 교수님 수업 듣는사람들은 좀 치는 사람들입니다. 다른반보다 힘들수 있어요 그치만 배우는건 많아요,이 교수 님 수업 듣다 사람 들 좀 치다 사람 들이다 반 힘들다 있다 그치다 배우다 많다,2
C프로그래밍및실습,박태순,해당 주에 해야할게 무엇인지 공지를 자세하고 알기쉽게 알려주시는게 매우 좋았습니다. 제대로 된 풀이법을 알려주신것도 도움 많이 되었습니다,해당 주 하다 하다 무엇 공지 자세하다 알다 쉬다 알다 매우 좋다 제대로 되다 풀이 법 알다 주다 도움 되어다,1
C프로그래밍및실습,박태순,사실 처음엔 빡세서 허덕이긴 했는데 기본틀같은거 잡아주시면서 해주셔서 좋아요,사실 처음 빡세 허덕이다 하다 틀 같다 잡다 해주다 좋다,5
